date,depth_cm
2008-11-01,0
2008-11-02,0
2008-11-03,0
2008-11-04,0
2008-11-05,0
2008-11-06,0
2008-11-07,0
2008-11-08,0
2008-11-09,0
2008-11-10,0
2008-11-11,0
2008-11-12,0
2008-11-13,0
2008-11-14,0
2008-11-15,0
2008-11-16,0
2008-11-17,0
2008-11-18,0
2008-11-19,10
2008-11-20,10
2008-11-21,10
2008-11-22,10
2008-11-23,12
2008-11-24,10
2008-11-25,38
2008-11-26,65
2008-11-27,38
2008-11-28,38
2008-11-29,65
2008-11-30,63
2008-12-01,60
2008-12-02,60
2008-12-03,60
2008-12-04,58
2008-12-05,56
2008-12-06,57
2008-12-07,57
2008-12-08,58
2008-12-09,58
2008-12-10,54
2008-12-11,51
2008-12-12,68
2008-12-13,63
2008-12-14,63
2008-12-16,59
2008-12-17,63
2008-12-18,72
2008-12-19,78
2008-12-20,95
2008-12-21,94
2008-12-22,125
2008-12-23,123
2008-12-24,125
2008-12-25,111
2008-12-26,110
2008-12-27,105
2008-12-28,85
2008-12-29,73
2008-12-30,76
2008-12-31,83
2009-01-01,80
2009-01-02,78
2009-01-03,83
2009-01-04,81
2009-01-05,83
2009-01-06,85
2009-01-07,89
2009-01-08,95
2009-01-09,98
2009-01-10,98
2009-01-11,106
2009-01-12,112
2009-01-13,113
2009-01-14,115
2009-01-15,114
2009-01-16,114
2009-01-17,106
2009-01-18,108
2009-01-19,133
2009-01-20,132
2009-01-21,129
2009-01-22,123
2009-01-23,120
2009-01-24,118
2009-01-25,115
2009-01-26,114
2009-01-27,114
2009-01-28,113
2009-01-29,150
2009-01-30,148
2009-01-31,152
2009-02-01,147
2009-02-02,143
2009-02-03,140
2009-02-04,139
2009-02-05,138
2009-02-06,136
2009-02-07,135
2009-02-08,132
2009-02-09,135
2009-02-10,135
2009-02-11,130
2009-02-12,126
2009-02-13,134
2009-02-14,135
2009-02-15,134
2009-02-16,133
2009-02-17,134
2009-02-18,133
2009-02-19,155
2009-02-20,180
2009-02-21,175
2009-02-22,173
2009-02-23,218
2009-02-24,216
2009-02-25,208
2009-02-26,203
2009-02-27,198
2009-02-28,190
2009-03-01,188
2009-03-02,191
2009-03-03,196
2009-03-04,193
2009-03-05,191
2009-03-06,189
2009-03-07,180
2009-03-08,180
2009-03-09,177
2009-03-10,179
2009-03-11,178
2009-03-12,178
2009-03-13,178
2009-03-14,178
2009-03-15,178
2009-03-16,177
2009-03-17,176
2009-03-18,175
2009-03-19,173
2009-03-20,170
2009-03-21,170
2009-03-22,170
2009-03-23,174
2009-03-24,169
2009-03-25,167
2009-03-26,164
2009-03-27,162
2009-03-28,160
2009-03-29,158
2009-03-30,156
2009-03-31,158
2009-04-01,157
2009-04-02,154
2009-04-03,151
2009-04-04,144
2009-04-05,140
2009-04-06,138
2009-04-07,142
2009-04-08,142
2009-04-09,142
2009-04-10,141
2009-04-11,141
2009-04-12,138
2009-04-13,138
2009-04-14,137
2009-04-15,135
2009-04-16,132
2009-04-17,129
2009-04-18,125
2009-04-19,123
2009-04-20,118
2009-04-21,121
2009-04-22,118
2009-04-23,122
2009-04-24,130
2009-04-25,118
2009-04-26,108
2009-04-27,99
2009-04-28,90
2009-04-29,80
2009-04-30,77
2009-05-01,71
2009-05-02,65
2009-05-03,58
2009-05-04,55
2009-05-05,53
2009-05-06,44
2009-05-07,45
2009-05-08,38
2009-05-09,32
2009-05-10,27
2009-05-11,25
2009-05-12,21
2009-05-13,17
2009-05-14,12
2009-05-15,8
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-12-01,33
2009-12-02,31
2009-12-03,26
2009-12-04,21
2009-12-05,19
2009-12-06,29
2009-12-07,29
2009-12-08,31
2009-12-09,30
2009-12-10,60
2009-12-11,78
2009-12-12,88
2009-12-13,81
2009-12-14,88
2009-12-15,86
2009-12-16,86
2009-12-17,84
2009-12-18,82
2009-12-19,79
2009-12-20,77
2009-12-21,75
2009-12-22,72
2009-12-23,71
2009-12-24,71
2009-12-25,71
2009-12-26,71
2009-12-27,82
2009-12-28,81
2009-12-29,98
2009-12-30,99
2009-12-31,98
2010-01-01,98
2010-01-02,103
2010-01-03,125
2010-01-04,121
2010-01-05,114
2010-01-06,111
2010-01-07,108
2010-01-08,106
2010-01-09,104
2010-01-10,104
2010-01-11,103
2010-01-12,100
2010-01-13,100
2010-01-14,99
2010-01-15,97
2010-01-16,97
2010-01-17,96
2010-01-18,106
2010-01-19,108
2010-01-20,110
2010-01-21,112
2010-01-22,108
2010-01-23,107
2010-01-23,108
2010-01-26,88
2010-01-27,88
2010-01-28,88
2010-01-29,100
2010-01-30,100
2010-01-31,99
2010-02-01,100
2010-02-03,96
2010-02-04,104
2010-02-05,100
2010-02-06,100
2010-02-07,100
2010-02-08,100
2010-02-09,99
2010-02-10,99
2010-02-11,100
2010-02-12,100
2010-02-13,99
2010-02-14,98
2010-02-15,97
2010-02-16,95
2010-02-17,96
2010-02-18,96
2010-02-19,96
2010-02-20,97
2010-02-21,98
2010-02-22,100
2010-02-23,100
2010-02-24,105
2010-02-25,137
2010-02-26,162
2010-02-27,179
2010-02-28,198
2010-03-01,207
2010-03-02,206
2010-03-03,200
2010-03-04,197
2010-03-05,194
2010-03-06,192
2010-03-07,192
2010-03-08,185
2010-03-09,180
2010-03-10,179
2010-03-11,175
2010-03-12,173
2010-03-13,160
2010-03-14,160
2010-03-15,197
2010-03-16,198
2010-03-17,194
2010-03-18,191
2010-03-19,186
2010-03-20,181
2010-03-21,178
2010-03-22,172
2010-03-23,166
2010-03-24,162
2010-03-25,173
2010-03-27,175
2010-03-28,173
2010-03-29,187
2010-03-30,180
2010-03-31,174
2010-04-01,170
2010-04-01,170
2010-04-02,166
2010-04-03,159
2010-04-04,149
2010-04-05,142
2010-04-06,142
2010-04-07,134
2010-04-08,130
2010-04-09,120
2010-04-10,120
2010-04-11,120
2010-04-12,120
2010-04-13,120
2010-04-14,118
2010-04-15,115
2010-04-16,115
2010-04-17,132
2010-04-18,134
2010-04-19,138
2010-04-20,127
2010-04-21,118
2010-04-22,112
2010-04-23,108
2010-04-24,108
2010-04-25,105
2010-04-26,100
2010-04-27,97
2010-04-28,138
2010-04-29,145
2010-04-30,145
2010-05-01,130
2010-05-02,107
2010-05-03,94
2010-05-04,86
2010-05-05,75
2010-05-06,71
2010-05-07,70
2010-05-08,65
2010-05-09,63
2010-05-10,70
2010-05-10,
2010-05-11,70
2010-05-12,63
2010-05-13,60
2010-05-14,55
2010-05-15,47
2010-05-16,43
2010-05-17,0
2010-05-18,0
2010-05-20,0
2010-05-21,0
2010-05-22,0
2010-05-23,0
2010-05-24,0
2010-05-25,0
2010-05-26,0
2010-05-27,0
2010-05-28,0
2011-11-23,25
2011-11-24,53
2011-11-25,38
2011-11-26,35
2011-11-27,23
2011-11-28,18
2011-11-29,0
2011-11-30,0
2011-12-01,0
2011-12-02,0
2011-12-03,1
2011-12-04,0
2011-12-05,0
2011-12-06,0
2011-12-07,0
2011-12-08,8
2011-12-09,9
2011-12-10,10
2011-12-11,10
2011-12-12,8
2011-12-13,8
2011-12-14,10
2011-12-15,15
2011-12-16,15
2011-12-17,21
2011-12-18,19
2011-12-19,19
2012-01-01,38
2012-01-02,44
2012-01-03,52
2012-01-04,50
2012-01-05,50
2012-01-06,52
2012-01-07,50
2012-01-08,50
2012-01-09,50
2012-01-10,50
2012-01-11,50
2012-01-12,50
2012-01-13,69
2012-01-14,80
2012-01-15,78
2012-01-16,75
2012-01-17,75
2012-01-18,72
2012-01-19,72
2012-01-20,88
2012-01-21,85
2012-01-22,85
2012-01-23,84
2012-01-24,80
2012-01-25,70
2012-01-26,70
2012-01-27,80
2012-01-28,85
2012-01-29,85
2012-01-30,90
2012-01-31,90
2012-02-01,95
2012-02-02,90
2012-02-03,90
2012-02-04,90
2012-02-05,90
2012-02-06,90
2012-02-07,90
2012-02-08,91
2012-02-09,90
2012-02-10,88
2012-02-11,89
2012-02-12,91
2012-02-13,90
2012-02-14,89
2012-02-15,89
2012-02-16,90
2012-02-17,92
2012-02-18,96
2012-02-19,96
2012-02-20,95
2012-02-21,93
2012-02-22,93
2012-02-23,95
2012-02-24,96
2012-02-25,120
2012-02-26,135
2012-02-27,130
2012-02-28,130
2012-02-29,126
2012-03-01,133
2012-03-02,150
2012-03-03,152
2012-03-04,147
2012-03-05,155
2012-03-06,153
2012-03-07,150
2012-03-08,145
2012-03-09,130
2012-03-10,135
2012-03-11,134
2012-03-12,129
2012-03-13,127
2012-04-01,68
2012-04-02,75
2012-04-03,70
2012-04-04,68
2012-04-05,69
2012-04-06,69
2012-04-07,69
2012-04-08,70
2012-04-09,85
2012-04-10,110
2012-04-11,110
2012-04-12,110
2012-04-13,110
2012-04-14,105
2012-04-15,94
2012-04-16,82
2012-04-17,68
2012-04-18,60
